title,text,label,domain
Quarter of Americans Injure Themselves Grooming Their Pubic Hair,"Most adults in the U.S. shave, wax or groom their pubic hair. But the practice is leading to a surprising number of injuries, according to the latest study on the subject. In a new survey reported in JAMA Dermatology, researchers found that 76% of adults in the U.S. said they groomed their pubic hair. About a quarter of them reported injuries related to grooming. The most common injuries were cuts, followed by rashes and burns. Most were not serious, but in 1.5% of cases, the injuries required medical attention. Dr. Benjamin Breyer, vice chair of urology at the University of California San Francisco, and his colleagues conducted the survey using a specially designed questionnaire that asked people to report their grooming habits and injuries. As a urologist, Breyer wanted to investigate pubic hair grooming injuries when he learned that about 3% of the adults who came to the emergency room at UCSF were there because of grooming injuries.   Not surprisingly, the people who reported injuries were also those who said they groomed more frequently and were more likely to groom more extensively, in many cases removing all of their pubic hair. ""One lesson to take from this is that if you have had significant grooming injuries, or keep getting injured, you should reconsider the areas you groom, how frequently you do it, and the extent to which you do it,"" Breyer says. The survey wasn’t designed to determine which grooming method—shaving versus waxing, for example—was safer. But they found that more than 60% of the injuries were related to cuts, so it makes sense that using razors could be dangerous for some people. Oil These results may be important for more than just preventing injuries, Breyer says. Injuries in the pubic area could make people more vulnerable to infections, including sexually transmitted diseases. He plans to look at the relationship between grooming injuries and sexually transmitted infections to see if injuries might lead to higher rates of transmission. For now, he says that the results should be reassuring to groomers, since most are doing it safely without harming themselves. But people who are getting injured—and especially those who are getting injured repeatedly—should consider grooming less frequently and taking off less hair. ""Infections from grooming injuries are rare,"" he says, but grooming more mindfully could save you a visit to the doctor.",Human,news
"Ultra-Cold Gases Offer Window Into Extra Dimensions, According to New Theory","A lot of the problems with string theory reduce to the fact that we don't really have a way to verify or falsify its predictions. Key to string theory is the existence of, well, strings, which amount to tiny coiled-up bonus dimensions extending beyond the four that we all know and love. Unfortunately, these strings are so small, about 10–35 meters, that even the most powerful particle colliders imaginable wouldn't be able to offer a glimpse. But, still, there are many that want to believe. Enter physicists Sergio Gutiérrez, Abel Camacho, and Héctor Hernández of Universidad Autonoma Metropolitana-Iztapalapa in Mexico City. The trio posted a paper late last month to the arXiv preprint server suggesting that it may be possible to detect extra dimensions by using Bose-Einstein condensates as windows of sorts. Bose-Einstein condensates are pretty neat. The basic idea is that if you cool a bunch of particles way, way down, they start acting like one great big particle. The upshot is that the quantum effects normally seen at subatomic scales can be experienced at relatively macro scales. As the researchers explain in the paper, the properties of Bose-Einstein condensates depend in part on the number of space-like dimensions. If string theory were to be correct, and there are a bunch of way-small extra dimensions, we might expect discontinuities in the condensate's specific heat, which is a measure of the heat required to raise its temperature by a set amount. If there are some extra dimensions, then maybe we'll see something weird happening with this specific heat as the gas is cooled beyond the condensation threshold, which is the point where all of the different particles start acting as one. As physicist and singer Sabine Hossenfelder writes at Backreactions, there's a pretty big flaw in this line of reasoning. The thing about these super-tiny dimensions is that any particles that might happen to be hanging out inside of them would have to be oscillating at super-high frequencies. To see this, imagine a prisoner pacing back and forth in a cell at a constant rate. Now, take the same prisoner exerting the same energy and put them into a smaller cell. They'll be covering the span from cell wall to cell wall much more frequently. So it is with particles. A particle confined to one of these string dimensions will have to be bouncing back and forth at way high frequencies, and that amounts to a tremendous amount of energy. This is much more energy than can be supplied in a Bose-Einstein condensate, which has been chilled to the point of profound sluggishness. ""So what's the proposal in the paper then?,"" Hossenfelder writes. ""There isn't one. They simply ignore that the higher harmonics can't be excited and make a calculation. Then they estimate that one needs a condensate of about a thousand particles to measure a discontinuity in the specific heat, which depends on the number of extra-dimensions."" I've reached out to the authors of the paper for a response and will update if and when I hear back.",Human,news
One in five deaths worldwide linked to unhealthy diet,"Eleven million deaths worldwide in 2017 were linked to people eating poor diets high in sugar, salt and processed meat that contributed to heart disease, cancer and diabetes, a global study found. The research, published in the Lancet medical journal, found that among 195 countries studied, the proportion of diet-related deaths was highest in Uzbekistan and lowest in Israel. The United States ranked 43rd, while Britain was 23rd, China 140th and India 118th. Consumption of healthier foods such as nuts and seeds, milk and whole grains was on average too low, and people consumed too many sugary drinks and too much processed meat and salt. This led to one in five deaths in 2017 being linked to bad diets. The Global Burden of Disease study tracked trends from 1990 to 2017 of consumption of 15 dietary factors. Chris Murray, director of the Institute for Health Metrics and Evaluation at the University of Washington which led the work, said it ""affirms what many have thought for several years"". ""Poor diet is responsible for more deaths than any other risk factor in the world,"" he said. ""Our assessment suggests the leading dietary risk factors are high intake of sodium, or low intake of healthy foods, such as whole grains, fruit, nuts and seeds and vegetables."" The study found people ate only 12 percent of the recommended amount of nuts and seeds - an average intake of 3 grams a day, compared with the recommended 21 g - and drank more than 10 times the recommended amount of sugary drinks. Diets high in sugar, salt and bad fats are known risk factors for heart disease, stroke, diabetes and many types of cancer. The global diet also included less than a quarter of the recommended amount of whole grains - at 29 g average intake a day compared with the recommended 125 g - and almost double the recommended amount of processed meat - at around 4 g average intake per day compared with the 2 g recommended. A study published in January suggested an ""ideal diet"" for the health of people and the planet would include a doubling of consumption of nuts, fruits, vegetables and legumes, and a halving of meat and sugar intake. In a breakdown of diet-related deaths, the study found that of the 11 million in 2017, almost 10 million were from cardiovascular diseases, around 913,000 from cancer, and almost 339,000 from type 2 diabetes. Annual deaths related to diet have increased from 8 million in 1990, but the researchers said this was largely due to increases in populations and populations aging.",Human,news
Predators use big second period to beat Kings,"What the Los Angeles Kings already have, the Nashville Predators want. By beating Los Angeles 5-2 Monday night at sold-out Bridgestone Arena, Nashville took a big step toward joining the Kings in the Western Conference playoff field, perhaps even pairing with them in the first round to boot. In picking up at least one point for the 17th time in 19 games, the Predators broke the scoring seal with three second-period markers, then held off a furious third-period rally with clutch penalty-killing and a timely goal by center Ryan Johansen. ""There’s a lot of possibilities and we still have games left,"" Nashville center Mike Fisher said. ""I thought we came out with a purpose tonight and played really hard. They gave us all we wanted at the end, but we executed really well."" After a physical first period filled with hits — 29 overall, 18 by Los Angeles — and a combined 21 shots on net, the Predators took command with a sustained flurry that knocked out goalie Jonathan Quick before the third period began. Right winger James Neal started the barrage at 7:37 with his 28th goal, beating Quick with a wrister from the top of the left faceoff circle off a clean faceoff win by Johansen. ""You always want to get the first one and go from there,"" Neal said. ""I thought the big thing was we were able to keep it going. We disrupted their offense; we got to a lot of pucks."" Following a botched line change by the Kings that cost them a minor penalty for too many men on the ice — they had seven at one point before the whistle blew — Fisher made it 2-0 with a power-play marker at 13:17. He followed his shot and poked the rebound into an open net for his 12th tally. Left winger Filip Forsberg capped the outburst with a backhand score from the left goalpost at 15:23, making him the fifth player in franchise history with 30 goals and putting him within three of tying the franchise record set by Jason Arnott. But Los Angeles predictably bounced back, silencing the audience of 17,113 with two goals in the third period’s first eight minutes. Left winger Tanner Pearson tipped a point blast from defenseman Drew Doughty by goalie Pekka Rinne 32 seconds into the period to notch his 14th goal, followed by a wrister from the point by Alec Martinez for his 10th marker. However, Johansen blunted the Kings’ momentum by deflecting a point shot from defenseman Shea Weber past backup goalie Jhonas Enroth at 11:45, his 13th goal of the season. ""If you look at it, there are a lot of momentum swings in any game,"" Johansen said. ""They’re a great team and they were coming at us. That was a huge goal, no matter how you look at it."" Los Angeles still created chances to dent its two-goal deficit, earning a pair of power-play opportunities after Johansen’s tally. But Nashville killed off those penalties, as well as another one earlier in the period, with some of its best shorthanded work of the season. ""I liked the quickness we had on pucks and the quickness that we had on battles,"" Predators coach Peter Laviolette said of the penalty kill. ""We were able to get clears 200 feet a few times."" Defenseman Roman Josi capped the scoring with an empty-netter at 19:31 for Nashville, which drew within four points of Chicago in the Central Division and denied the Kings a chance to establish a six-point lead over Anaheim in the Pacific Division. ""The second period, we turned the pucks over a little bit and gave them off-man rushes,"" Los Angeles coach Darryl Sutter said. ""Our forwards had trouble getting to the net against their defense. Most of our chances came from up top from our defense."" Rinne finished with 28 saves on 30 shots in earning his 30th win of the season, while Quick stopped 24 of 27 shots. Enroth faced only two shots. ",Human,news
Brain drainage system could contribute to Alzheimer's and MS,"The brain drains waste fluid via a system of cells that can function incorrectly as they age, potentially leading to neurological issues, according to a preclinical study published in Nature Wednesday. Why it matters: Researchers think dysfunction in the system of cells could play a role in  — and be a potential treatment target for — neurodegenerative disorders like Alzheimer's and multiple sclerosis. Background: How the brain and spinal cord drain cerebrospinal fluid has been under recent debate, as scientists only recently re-discovered the central nervous system  has its own lymphatic system. ""The textbook knowledge is that CSF directly drains into veins, however, this is mostly based on knowledge gained from studies performed over 100 years ago,"" Steven Proulx, of the Theodor Kocher Institute in Switzerland, tells Axios. But studies in recent years, ""highlighted the forgotten role"" lymphatics play, adds Proulx, who was not part of this study. Still, the route remains under debate. Proulx says there is evidence CSF can also drain through routes along cranial nerves, like in the nasal or optical region, citing his 2017 study. Others propose the meningeal lymphatic vessels at the top of the skull are most important. What they did: This research team, over roughly 3 years, used fluorescence microscopy and MRIs to track the function of mLVs in genetically modified mouse and rat models, Cho said. They compared the function of basal and dorsal mLVs between young and older mice. What they found: MLVs at the base of the skull ""provide a direct route for the clearance of large molecules including toxic metabolites from the brain, which is impaired with aging,"" Cho tells Axios. They found that in the older mice, dorsal mLVs showed faster deterioration and basal mLVs were enlarged and more numerous, but also showed fewer valves and some signs of disintegration.  What they're saying: Taija Mäkinen, of Uppsala University in Sweden, writes in an accompanying News and Views piece... But, but, but: So far, the experiments have been done in animal models and the findings would have to be tested and confirmed in humans, Proulx says. ""Until these studies are performed, I expect that clinicians will remain skeptical of this concept, as it is so radically different from what they have learned in medical school.""",Human,news
"Trump intervention delaying EPA biofuel waiver action, sources say","U.S. President Donald Trump’s request for a review of the administration’s expanded use of biofuel waivers for oil refiners is holding up its decisions on 2018 applications, according to three sources familiar with the matter, two of whom said Trump may soon host a meeting on the issue. Trump had ordered members of his Cabinet to review the controversial waiver program, which exempts small refiners in financial turmoil from their obligation to blend ethanol into gasoline, last month after hearing from farmers angry about the issue during his recent Midwest tour. Since Trump took office, the Environmental Protection Agency has more than quadrupled the number of waivers it has granted to refiners, saving the oil industry hundreds of millions of dollars, but enraging another key constituency - corn growers - who claim the move threatens ethanol demand. Since Trump’s request for a review, the EPA has been scrambling to come up with a solution to move forward with 40 pending applications for the waivers, called Small Refinery Exemptions or SREs, covering 2018. ""The SRE decision is being held up because the President wants to have this conversation,"" one of the sources familiar with the issue said. Two sources said the White House could host a meeting next week on the issue that would include Trump, Agriculture Secretary Sonny Perdue, EPA Administrator Andrew Wheeler, and senators from both oil and farm states. There was no final decision yet on whether a meeting would be held, or when, they said. All three of the sources said that the 2018 SRE decisions were nearly finalized before Trump became involved. The White House declined to comment. The EPA responded to a request for comment by saying it was implementing biofuel policy in accordance with the law. ""We will work with the White House, DOE, USDA, members of Congress and other stakeholders to ensure the proper administration of the,"" EPA spokesman Michael Abboud said in an emailed statement. The Department of Energy provided the EPA its scoring results for the 40 outstanding 2018 applications in late April, sources told Reuters. EPA is required to decide on applications no later than 90 days after receiving them. Some refiners say they filed their applications far earlier than April, and say the EPA is already late. The Renewable Fuel Standard, a more than decade-old regulation that is aimed at helping farmers and reducing U.S. dependence on oil, has been a big point of contention between the rivaling oil and corn industries, leaving Trump struggling to find a balance between the two important constituencies as he eyes a bid for re-election next year. The regulation requires refiners to blend increasing volumes of ethanol and other biofuels into their fuel each year or purchase credits from those that do. But it also allows refining facilities of less than 75,000 barrels per day to request waivers if they can prove that complying with the law would cause them disproportionate financial hardship. Small refineries owned by giants like Exxon Mobil and Chevron Corp, along with a facility owned by billionaire investor Carl Icahn have secured waivers from Trump’s EPA, according to Reuters reporting. Trump’s request that Cabinet members, including Agriculture Secretary Perdue, help hash out a fix to the waiver program has become a source of concern for lawmakers representing oil refining states. Perdue has often publicly criticized the EPA’s administration of the waiver program, siding with farmers. Last week, Republican senators representing oil states wrote to Trump asking him to keep Perdue away from any decision-making process over the petitions. Louisiana Senator John Kennedy also wrote to Perdue saying he will block confirmation of agency nominations until Perdue ""stops interfering.""",Human,news
Britain's Olympic champion Yarnold has successful back surgery,"Double Olympic skeleton champion Lizzy Yarnold has undergone successful surgery to treat a long-standing back problem, the British Bobsleigh and Skeleton Association said on Tuesday. Yarnold, who became the first Briton to successfully defend a Winter Olympic title when she claimed skeleton gold at this year’s Games in Pyeongchang, had an operation to fix some slipped disk on Monday. ""Lizzy has been managing the pain in her back for some time now and we were all of the same opinion that an operation was in the best interests of Lizzy’s health and wellbeing,"" said Andi Schmid, British Skeleton performance director, said in a statement. ""We are delighted that the surgery was a success and we will now ensure that Lizzy has all the support she needs to facilitate her recovery."" The 29-year-old Yarnold will continue her rehabilitation at home, with no return date yet set for a return. ""Skeleton is a demanding sport and the last Olympic cycle was a particularly intensive one in which Lizzy had to overcome a number of physical challenges,"" Schmid added. ""While we appreciate that there will be questions regarding Lizzy’s return to action, the most important thing right now is that she rests, recuperates and gets herself back to full health in her own time."" Yarnold said it was the best time for the surgery and now hopes for a quick recovery. ""I’d like to say a big thank you to everyone who is helping piece this slightly broken athlete’s body back together,"" said Yarnold. ""Now felt like a good time to have it done, I couldn’t manage the pain any longer! I’m not feeling great right now but here’s hoping recovery will be speedy.""",Human,news
"Hackers steal data on Verizon enterprise customers, put it up for sale online","Cybercriminals have stolen data from Verizon's enterprise unit and have put it up for sale online. According to security journalist Brian Krebs, the data was stolen from Verizon Enterprise Solutions, a Verizon business unit that provides IT services to major companies, and which itself is often tasked with responding to large data breaches. Krebs reports that information on about 1.5 million enterprise customers was put up for sale on a forum this week, though no data on Verizon wireless consumers was involved in the breach. According to Verizon Enterprise Solutions, 97 percent of Fortune 500 companies use the company's services. Entire database priced at $100,000 According to Krebs, the data was put up for sale by a ""prominent member of a closely guarded underground cybercrime forum."" The entire database was priced at $100,000, though the hacker offered to sell it off in chunks, as well: $10,000 for 100,000 records. The hacker is also selling information on weaknesses in Verizon's website, Krebs reports. Verizon has not provided details on how the hack occurred, though it acknowledged a vulnerability and said it is notifying its customers. ""Verizon recently discovered and remediated a security vulnerability on our enterprise client portal,"" Verizon said in a statement sent to Krebs. ""Our investigation to date found an attacker obtained basic contact information on a number of our enterprise customers. No customer proprietary network information or other data was accessed or accessible.""",Human,news
Best-friend genetics - Dogs and cancer,"DOGS have long been man’s closest animal companion. The story of how they accompanied traders and settlers to every corner of the globe has now been pieced together in an unusual way by a group studying a unique genetic tag associated with a canine cancer. And in the process, this has turned up surprising new evidence about how cancer cells survive. Transmissible cancers are rare. One of them, canine transmissible venereal tumour, spreads between dogs through the transfer of living cells during mating. The disease, which usually appears as genital tumours in both male and female dogs, is believed to have originated in a single dog some 11,000 years ago and survived by spreading to other dogs. It is now found in dogs worldwide. Upgrade your inbox and get our Daily Dispatch and Editor's Picks. Since that founder dog first spawned CTVT, however, the disease has changed its genetic nature, according to Andrea Strakova, Máire Ní Leathlobhair and Elizabeth Murchison of the University of Cambridge’s Department of Veterinary Medicine and an international team of colleagues. They looked at the DNA of mitochondria in 449 tumours in dogs from 39 countries. Mitochondria are units within cells that act as power plants, turning the energy contained in sugar into a form of fuel which a cell can use. Mitochondria have their own genome, which is likely to be a hangover from a time when they may have existed as free-living organisms. Previous studies have shown that mitochondrial DNA has been able to transfer from body cells in infected dogs into the cells in their tumours, and hence to the tumours of dogs that were subsequently infected. As the group report in eLife, they found evidence of the cancer having ""stolen"" mitochondrial DNA from the cells of its host on at least five occasions during the long history of the disease. This may well have been done to help the tumour survive, says Ms Strakova. By mapping the points at which mitochondrial DNA made the transfer it was possible to work out how the tumours are related to each other. Of the five main branches of the family tree which the researchers came up with, the oldest arose 1,000-2,000 years ago, probably in India, where the clade still persists. One of the most common clades spread from Russia or China around 1,000 years ago, but did not arrive in the Americas until within the last 500 years, suggesting it was taken there by European colonialists. Contemporary art shows conquistadors used dogs both for protection and as a source of food. The disease arrived in Australia around the turn of the 20th century, most likely among dogs accompanying European settlers. Yet the study also found an exceptional dog in Nicaragua in which its tumour had not just mingled with some mitochondrial DNA from its canine host but actually spliced the two sequences together. This so-called ""recombination"" of DNA in mitochondria is extremely unusual. It could be happening on a much wider scale, the researchers believe, perhaps even in human cancers, where it would be much more difficult to detect because the tumour’s mitochondrial DNA is likely to be very similar to the mitochondrial DNA in the patient’s normal cells. It is not yet known what the significance of mitochondrial DNA recombination in cancer could be. But it might be that the genetic changes it bestows somehow help cancer cells. If so, blocking the process could provide another way to fight the disease. That would be one more debt man owes to his dogs.",Human,news
FBI offers reward for California serial killer in cold case,"The Federal Bureau of Investigation on Wednesday offered a $50,000 reward for help in apprehending a serial killer suspected of 12 slayings and 45 rapes in California, in a 40-year-old cold case. The unidentified man, who would now be between ages 60 and 75 years old, carried out his attacks between 1976 and 1986 throughout California and is considered one of the state’s most prolific serial killers, according to the FBI. Officials described him as a white male, about 5 feet, 10 inches tall with blond or light brown hair. Investigators have dubbed him the East Area Rapist and the Golden State Killer. He was adept at using firearms and was known to sneak into a house and confront sleeping couples in bed, shining a flashlight in their eyes before raping the woman while the man was tied up, according to the FBI. On occasion, he would kill the couple. Other times, he attacked women alone at home or with their children. ""There is a likelihood that he is alive and certainly if he is we would like to get some justice for the victims,"" FBI spokeswoman Gina Swankie said in a phone interview. The first crime investigators attributed to the man was a rape in the Sacramento area on June 18, 1976, nearly 40 years ago. ""It’s an ideal time to refresh everyone’s memories and try to get this reward to encourage people to come forward with information,"" Swankie said. Between 1976 and 1978, he carried out burglaries, rapes and killings in the Sacramento area, then centered his attacks on the eastern region of the San Francisco Bay Area in 1979, the FBI said in a statement announcing the reward. Over the next two years, he killed several people along the California Coast, the FBI said. After a 1981 slaying in the Southern California community of Irvine he appears to have stopped until 1986, when he struck again in Irvine, raping and killing a teenager, the FBI statement said. That was the last attack. Investigators have linked him to 12 slayings and 45 rapes based on DNA evidence and his chillingly unique methods, Swankie said. The killer also burglarized homes and took valuables from victims while they were bound, accumulating a trove of coins and jewelry, which led the FBI in their announcement to ask people to alert it if they discovered a ""hidden collection of items"" belonging to a friend or relative.",Human,news
